f5	1259	1
f5	1260	2
f5	1260	3
f5	1260	4
f5	1260	5
f5	1261	6
f5	1261	7
f5	1261	8
f5	1261	9
f5	1261	10
f5	1261	11
f5	1261	12
f5	1262	13
f5	1262	14
f5	1262	15
f5	1262	16
f5	1262	17
f5	1262	18
f5	1262	19
f5	1262	20
f5	1263	21
f5	1263	22
f5	1263	23
f5	1263	24
f5	1263	25
f5	1263	26
f5	1263	27
f5	1263	28
f5	1263	29
f5	1263	30
f5	1263	31
f5	1264	32
f5	1264	33
f5	1264	34
f5	1264	35
f5	1264	36
f5	1265	37
f5	1265	38
f5	1273	39
f5	1273	40
f5	1274	41
f5	1279	42
f5	1280	43
f5	1280	44
f5	1281	45
f5	1281	46
f5	1282	47
f5	1282	48
f5	1283	49
f5	1283	50
f5	1283	51
f5	1284	52
f5	1284	53
f5	1284	54
f5	1284	55
f5	1285	56
f5	1285	57
f5	1285	58
f5	1285	59
f5	1285	60
f5	1285	61
f5	1287	62
f5	1287	63
f5	1287	64
f5	1288	64
